Annotated	Significant	Expected	DEG	Term
GO:0045842	5	3	0,94	3	positive regulation of mitotic metaphase/anaphase transition
GO:0000278	203	70	38,04	70	mitotic cell cycle
GO:0006075	12	7	2,25	7	(1->3)-beta-D-glucan biosynthetic process
GO:1900057	2	2	0,37	2	positive regulation of leaf senescence
GO:0000226	110	41	20,61	41	microtubule cytoskeleton organization
GO:0006024	5	3	0,94	3	glycosaminoglycan biosynthetic process
GO:0009584	5	3	0,94	3	detection of visible light
GO:0006013	7	4	1,31	4	mannose metabolic process
GO:1902975	4	3	0,75	3	mitotic DNA replication initiation
GO:0006004	46	19	8,62	19	fucose metabolic process
GO:0046168	4	3	0,75	3	glycerol-3-phosphate catabolic process
GO:0030244	67	19	12,55	19	cellulose biosynthetic process
GO:0030245	30	10	5,62	10	cellulose catabolic process
GO:0006952	845	175	158,33	175	defense response
GO:0000727	11	6	2,06	6	double-strand break repair via break-induced replication
GO:0000712	8	4	1,5	4	resolution of meiotic recombination intermediates
GO:0035404	2	2	0,37	2	histone-serine phosphorylation
GO:0015790	6	4	1,12	4	UDP-xylose transmembrane transport
GO:0009641	2	2	0,37	2	shade avoidance
GO:0071042	2	2	0,37	2	nuclear polyadenylation-dependent mRNA catabolic process
GO:0043547	64	20	11,99	20	positive regulation of GTPase activity
GO:0042908	87	23	16,3	23	xenobiotic transport
GO:0099402	186	49	34,85	49	plant organ development
GO:0006355	1951	356	365,55	356	regulation of transcription, DNA-templated
GO:0034969	5	4	0,94	4	histone arginine methylation
GO:0046777	121	37	22,67	37	protein autophosphorylation
GO:0043622	17	9	3,19	9	cortical microtubule organization
GO:0006379	6	3	1,12	3	mRNA cleavage
GO:0019919	2	2	0,37	2	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine
GO:0051301	237	68	44,41	68	cell division
GO:0006334	75	21	14,05	21	nucleosome assembly
GO:0070814	2	2	0,37	2	hydrogen sulfide biosynthetic process
GO:0007094	11	5	2,06	5	mitotic spindle assembly checkpoint
GO:0016120	5	3	0,94	3	carotene biosynthetic process
GO:0016123	5	4	0,94	4	xanthophyll biosynthetic process
GO:0006468	1515	402	283,86	402	protein phosphorylation
GO:0016126	32	15	6	15	sterol biosynthetic process
GO:0072657	129	21	24,17	21	protein localization to membrane
GO:0007059	106	37	19,86	37	chromosome segregation
GO:0007076	8	4	1,5	4	mitotic chromosome condensation
GO:0070588	52	18	9,74	18	calcium ion transmembrane transport
GO:0046835	35	15	6,56	15	carbohydrate phosphorylation
GO:0007020	6	3	1,12	3	microtubule nucleation
GO:0007021	7	5	1,31	5	tubulin complex assembly
GO:0007023	6	5	1,12	5	post-chaperonin tubulin folding pathway
GO:0016104	12	6	2,25	6	triterpenoid biosynthetic process
GO:0007010	227	77	42,53	77	cytoskeleton organization
GO:0007017	222	94	41,6	94	microtubule-based process
GO:0007018	79	40	14,8	40	microtubule-based movement
GO:0007049	487	155	91,25	155	cell cycle
GO:0010088	10	5	1,87	5	phloem development
GO:0015689	5	4	0,94	4	molybdate ion transport
GO:0010078	2	2	0,37	2	maintenance of root meristem identity
GO:0051156	33	9	6,18	9	glucose 6-phosphate metabolic process
GO:0090481	19	9	3,56	9	pyrimidine nucleotide-sugar transmembrane transport
GO:0045910	14	7	2,62	7	negative regulation of DNA recombination
GO:0019318	128	47	23,98	47	hexose metabolic process
GO:0006116	4	3	0,75	3	NADH oxidation
GO:0019464	5	3	0,94	3	glycine decarboxylation via glycine cleavage system
GO:0071456	29	11	5,43	11	cellular response to hypoxia
GO:0000070	61	18	11,43	18	mitotic sister chromatid segregation
GO:0031408	20	8	3,75	8	oxylipin biosynthetic process
GO:0006269	3	3	0,56	3	DNA replication, synthesis of RNA primer
GO:0000079	62	18	11,62	18	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0051211	3	3	0,56	3	anisotropic cell growth
GO:0042138	10	6	1,87	6	meiotic DNA double-strand break formation
GO:0034473	2	2	0,37	2	U1 snRNA 3'-end processing
GO:0034475	5	3	0,94	3	U4 snRNA 3'-end processing
GO:0034476	2	2	0,37	2	U5 snRNA 3'-end processing
GO:0046621	5	5	0,94	5	negative regulation of organ growth
GO:0006270	17	11	3,19	11	DNA replication initiation
GO:0006271	12	9	2,25	9	DNA strand elongation involved in DNA replication
GO:0006272	4	4	0,75	4	leading strand elongation
GO:0090116	4	4	0,75	4	C-5 methylation of cytosine
GO:0042254	313	80	58,65	80	ribosome biogenesis
GO:0032956	39	9	7,31	9	regulation of actin cytoskeleton organization
GO:0031145	11	5	2,06	5	anaphase-promoting complex-dependent catabolic process
GO:0055085	1498	312	280,68	312	transmembrane transport
GO:0048366	62	15	11,62	15	leaf development
GO:0048367	186	37	34,85	37	shoot system development
GO:0048354	2	2	0,37	2	mucilage biosynthetic process involved in seed coat development
GO:0030001	312	74	58,46	74	metal ion transport
GO:0009416	213	64	39,91	64	response to light stimulus
