Annotated	Significant	Expected	DEG	Term
GO:0004553	420	125	84,98	125	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0005200	25	13	5,06	13	structural constituent of cytoskeleton
GO:0004559	8	4	1,62	4	alpha-mannosidase activity
GO:0022857	1391	326	281,43	326	transmembrane transporter activity
GO:0050105	2	2	0,4	2	L-gulonolactone oxidase activity
GO:0030570	25	9	5,06	9	pectate lyase activity
GO:0015297	198	54	40,06	54	antiporter activity
GO:0008760	2	2	0,4	2	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity
GO:0004693	21	8	4,25	8	cyclin-dependent protein serine/threonine kinase activity
GO:0015267	233	54	47,14	54	channel activity
GO:0004048	2	2	0,4	2	anthranilate phosphoribosyltransferase activity
GO:0043138	16	7	3,24	7	3'-5' DNA helicase activity
GO:0015276	15	9	3,03	9	ligand-gated ion channel activity
