Names	total	elements
		GDP-D-glucose phosphorylase activity
34h_Up 56h_Up	2	transferase activity, transferring acyl groups other than amino-acyl groups
		pyrophosphate hydrolysis-driven proton transmembrane transporter activity
37h_Up 40h_Up	3	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
		glutamate-5-semialdehyde dehydrogenase activity
		glutamate 5-kinase activity
37h_Up 46h_Up	2	arginine decarboxylase activity
		phosphomannomutase activity
37h_Up 56h_Up	2	unfolded protein binding
		phosphatidylinositol transfer activity
40h_Up 46h_Up	7	serine-type peptidase activity
		structural constituent of cell wall
		pyridoxal phosphate binding
		16:0 monogalactosyldiacylglycerol desaturase activity
		magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity
		fructose 1,6-bisphosphate 1-phosphatase activity
		magnesium chelatase activity
40h_Up 56h_Up	4	acid phosphatase activity
		succinate-semialdehyde dehydrogenase (NAD+) activity
		succinate-semialdehyde dehydrogenase [NAD(P)+] activity
		L-alanine:2-oxoglutarate aminotransferase activity
46h_Up 56h_Up	15	sequence-specific DNA binding
		GMP synthase (glutamine-hydrolyzing) activity
		luteolin O-methyltransferase activity
		acetylserotonin O-methyltransferase activity
		polyamine oxidase activity
		DNA-binding transcription factor activity
		calmodulin binding
		8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity
		transferase activity, transferring phosphorus-containing groups
		hydroxymethylglutaryl-CoA synthase activity
		protein histidine kinase binding
		box H/ACA snoRNA binding
		L-ascorbate oxidase activity
		5-epi-aristolochene synthase activity
		protein serine/threonine kinase activity
22h_Up	30	isochorismate synthase activity
		3-oxo-arachidoyl-CoA synthase activity
		enzyme inhibitor activity
		alanine-tRNA ligase activity
		pectinesterase activity
		aspartyl esterase activity
		proline dehydrogenase activity
		S-adenosyl-L-methionine transmembrane transporter activity
		gamma-aminobutyric acid transmembrane transporter activity
		phosphatidic acid binding
		alcohol dehydrogenase activity, zinc-dependent
		[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity
		abscisic acid binding
		protein phosphatase inhibitor activity
		L-allo-threonine aldolase activity
		uridine nucleosidase activity
		ubiquitin ligase activator activity
		long-chain-alcohol oxidase activity
		enoyl-[acyl-carrier-protein] reductase (NADH) activity
		arginine transmembrane transporter activity
		L-lysine transmembrane transporter activity
		very-long-chain 3-ketoacyl-CoA synthase activity
		L-glutamate transmembrane transporter activity
		anthranilate phosphoribosyltransferase activity
		3-oxo-lignoceronyl-CoA synthase activity
		phosphatidylglycerophosphatase activity
		L-alanine transmembrane transporter activity
		3-oxo-cerotoyl-CoA synthase activity
		delta24-sterol reductase activity
		S-(hydroxymethyl)glutathione dehydrogenase activity
25h_Up	10	lanosterol synthase activity
		dipeptidyl-peptidase activity
		beta-amyrin synthase activity
		C-4 methylsterol oxidase activity
		phosphatidylinositol phospholipase C activity
		photoreceptor activity
		cyclin-dependent protein serine/threonine kinase inhibitor activity
		beta-glucosidase activity
		DNA-binding transcription activator activity, RNA polymerase II-specific
		beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
28h_Up	53	spermidine synthase activity
		glycerol-3-phosphate dehydrogenase [NAD+] activity
		quinolinate synthetase A activity
		CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
		L-aspartate oxidase activity
		blue light photoreceptor activity
		hydrolase activity
		L-threonine ammonia-lyase activity
		methionine adenosyltransferase activity
		1-ethyladenine demethylase activity
		microtubule motor activity
		malate dehydrogenase (decarboxylating) (NAD+) activity
		copper ion transmembrane transporter activity
		phosphoric diester hydrolase activity
		protein O-GlcNAc transferase activity
		ATPase-coupled cation transmembrane transporter activity
		N-acetyl-gamma-glutamyl-phosphate reductase activity
		dTDP-4-dehydrorhamnose reductase activity
		dCTP diphosphatase activity
		sialyltransferase activity
		UDP-glucose 4,6-dehydratase activity
		structural constituent of cytoskeleton
		ABC-type zinc transporter activity
		phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
		arogenate dehydratase activity
		DNA-binding transcription factor activity, RNA polymerase II-specific
		ligand-gated ion channel activity
		adenosylhomocysteinase activity
		dTDP-4-dehydrorhamnose 3,5-epimerase activity
		oxidoreductase activity
		3-hydroxyisobutyryl-CoA hydrolase activity
		6-phosphogluconolactonase activity
		metal ion binding
		phospholipase C activity
		sugar transmembrane transporter activity
		uniporter activity
		mannose-6-phosphate isomerase activity
		phosphorelay sensor kinase activity
		potassium ion transmembrane transporter activity
		UDP-L-rhamnose synthase activity
		1,2-diacylglycerol 3-beta-galactosyltransferase activity
		cellulose synthase (UDP-forming) activity
		dTDP-glucose 4,6-dehydratase activity
		polygalacturonate 4-alpha-galacturonosyltransferase activity
		prephenate dehydratase activity
		adenylate kinase activity
		N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
		calcium channel activity
		1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity
		adenosylmethionine decarboxylase activity
		L-aspartate:fumarate oxidoreductase activity
		L-ascorbic acid binding
		acyl-CoA hydrolase activity
34h_Up	11	oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor
		selenium binding
		sarcosine oxidase activity
		nucleotide binding
		beta-amylase activity
		phosphoglycerate kinase activity
		branched-chain-amino-acid transaminase activity
		amylopectin maltohydrolase activity
		peroxidase activity
		growth factor activity
		neutral amino acid transmembrane transporter activity
37h_Up	12	dynein light intermediate chain binding
		calcium transmembrane transporter activity, phosphorylative mechanism
		ferroxidase activity
		heat shock protein binding
		dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity
		serine O-acetyltransferase activity
		dynein intermediate chain binding
		antiporter activity
		ferric iron binding
		cysteine-type endopeptidase activity
		protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
		sphingolipid delta-4 desaturase activity
40h_Up	24	inositol-polyphosphate 5-phosphatase activity
		medium-chain fatty acid-CoA ligase activity
		quercetin 7-O-glucosyltransferase activity
		molybdenum ion binding
		L-ornithine transmembrane transporter activity
		ornithine-oxo-acid transaminase activity
		serine-pyruvate transaminase activity
		secondary active sulfate transmembrane transporter activity
		inositol-1,4,5-trisphosphate 5-phosphatase activity
		choline-phosphate cytidylyltransferase activity
		ornithine(lysine) transaminase activity
		chlorophyllide a oxygenase [overall] activity
		quercetin 3-O-glucosyltransferase activity
		nitrate reductase (NADH) activity
		molybdopterin cofactor binding
		gamma-glutamylaminecyclotransferase activity
		nitrate reductase (NADPH) activity
		alpha-(1->6)-fucosyltransferase activity
		inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity
		sucrose synthase activity
		sucrose-phosphate synthase activity
		phosphoenolpyruvate carboxylase activity
		2 iron, 2 sulfur cluster binding
		aldose 1-epimerase activity
46h_Up	24	structural constituent of ribosome
		5-epi-aristolochene-1,3-dihydroxylase activity
		glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group
		aldehyde-lyase activity
		oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
		thioredoxin peroxidase activity
		aldehyde dehydrogenase (NAD+) activity
		3'-tRNA processing endoribonuclease activity
		geranyltranstransferase activity
		methyl jasmonate esterase activity
		dimethylallyltranstransferase activity
		peptidyl-prolyl cis-trans isomerase activity
		uroporphyrinogen decarboxylase activity
		glutamate-1-semialdehyde 2,1-aminomutase activity
		glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group
		methyl salicylate esterase activity
		peptide-methionine (R)-S-oxide reductase activity
		tripeptide transmembrane transporter activity
		triglyceride lipase activity
		16S rRNA (guanine(966)-N(2))-methyltransferase activity
		rRNA binding
		1-aminocyclopropane-1-carboxylate synthase activity
		hydroxymethylbilane synthase activity
		calcium-dependent protein serine/threonine kinase activity
56h_Up	46	diacylglycerol kinase activity
		transmembrane receptor protein serine/threonine kinase binding
		guanyl nucleotide binding
		sphingomyelin synthase activity
		cyanate hydratase activity
		glycopeptide alpha-N-acetylgalactosaminidase activity
		cardiolipin synthase activity
		inositol 3-kinase activity
		ferrochelatase activity
		acetyl-CoA C-acyltransferase activity
		phospho-N-acetylmuramoyl-pentapeptide-transferase activity
		threonine-tRNA ligase activity
		thioredoxin-disulfide reductase activity
		diphosphomevalonate decarboxylase activity
		magnesium ion binding
		ATPase inhibitor activity
		dolichol kinase activity
		G-protein beta/gamma-subunit complex binding
		ribosome binding
		shikimate O-hydroxycinnamoyltransferase activity
		U3 snoRNA binding
		protein serine/threonine phosphatase activity
		sucrose alpha-glucosidase activity
		UDP-glucose 4-epimerase activity
		guanylate kinase activity
		oxoglutarate dehydrogenase (succinyl-transferring) activity
		nuclease activity
		ATPase activity
		peptide-methionine (S)-S-oxide reductase activity
		calcium:proton antiporter activity
		L-aspartate:2-oxoglutarate aminotransferase activity
		glycerophosphodiester phosphodiesterase activity
		ADP-ribose diphosphatase activity
		inositol phosphoceramide synthase activity
		protein tyrosine phosphatase activity
		isopentenyl-diphosphate delta-isomerase activity
		glucan endo-1,3-beta-D-glucosidase activity
		ATP binding
		GTP cyclohydrolase II activity
		NAD+ ADP-ribosyltransferase activity
		3,4-dihydroxy-2-butanone-4-phosphate synthase activity
		trehalose-phosphatase activity
		ceramide cholinephosphotransferase activity
		long-chain fatty acid-CoA ligase activity
		clathrin heavy chain binding
		colneleate synthase activity
