"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.greenyellow"	"p.MM.greenyellow"
"Niben261Chr02g1079003.1"	"Glucomannan 4-beta-mannosyltransferase 9"	"greenyellow"	0.203547081343182	0.16525322835404	-0.00965676990900734	0.94806097074809	0.831338604978069	2.56746948147572e-13
"Niben261Chr06g0215018.1"	"O-fucosyltransferase family protein"	"greenyellow"	0.390466415797935	0.00607373876955312	0.103575343770453	0.483575636294105	0.829191075378537	3.35139277510356e-13
"Niben261Chr03g0608002.1"	"Cyclin-dependent kinase f-4"	"greenyellow"	0.24966549204631	0.0870153380968077	-0.0383415833317489	0.795842622859073	0.828853313037512	3.4936545879475e-13
"Niben261Chr09g1274005.1"	"Cinnamyl alcohol dehydrogenase"	"greenyellow"	0.24400319336099	0.0946604237305921	0.0746885824982211	0.613893705390888	0.828183567272415	3.79284065260898e-13
"Niben261Chr07g0613005.1"	"Formamidase"	"greenyellow"	0.212002355277778	0.148014640627267	-0.112739215432732	0.445506177307975	0.820234340266411	9.79821546201496e-13
"Niben261Chr17g0386010.1"	"Acetyl-CoA carboxylase"	"greenyellow"	0.325957030618039	0.023764894660471	0.0634709038611056	0.668228528428803	0.820189134799064	9.84992631042292e-13
"Niben261Chr03g1108015.1"	"ABC transporter G family member 15"	"greenyellow"	0.230525146337844	0.114947584269828	0.0421202100053146	0.776217808795561	0.817558764433152	1.3346355490386e-12
"Niben261Chr03g1459017.1"	"Cellulose synthase"	"greenyellow"	0.23054008865481	0.114923395688379	0.0389999383196502	0.792413998178581	0.817382785449449	1.36180134910236e-12
"Niben261Chr02g1158001.1"	"serine/threonine-protein kinase STY46-like"	"greenyellow"	0.362930787040129	0.0112359002251181	0.112079351978524	0.448190993802666	0.816883216808756	1.4418011809437e-12
"Niben261Chr12g0071001.1"	"Protein GL2-INTERACTING REPRESSOR 2"	"greenyellow"	0.304650903652571	0.0352582427729202	0.0806424616131943	0.585843811307689	0.816120153221024	1.57263756052272e-12
"Niben261Chr04g0732004.1"	"Protein trichome birefringence"	"greenyellow"	0.326674031564979	0.0234407379460916	0.0390923032529038	0.791933282693491	0.813553994723565	2.1000342948528e-12
"Niben261Chr17g0082002.1"	"Serine hydroxymethyltransferase"	"greenyellow"	0.258716174044691	0.07580594343694	-0.0196543520967033	0.894515518546327	0.813353460703421	2.14763372872647e-12
"Niben261Chr19g0176012.1"	"Chr4:7482643-7484328 REVERSE LENGTH=561"	"greenyellow"	0.361468256634272	0.0115927099233084	0.219978336753853	0.133006292989533	0.812311779643503	2.41177265068667e-12
"Niben261Chr10g0069001.1"	"Zinc finger ccch domain-containing protein 32"	"greenyellow"	0.371975950260324	0.00923186608317461	0.230451161343999	0.115067408031045	0.809918493692043	3.13983238656175e-12
"Niben261Chr18g0146001.1"	"Serine/threonine-protein kinase"	"greenyellow"	0.309918539879526	0.0320593033175531	0.0452715719911961	0.759955216504252	0.809099240700177	3.43365126383955e-12
"Niben261Chr07g1255001.1"	"Fe2OG dioxygenase domain-containing protein"	"greenyellow"	0.238136284033367	0.103120451359635	0.112099235382617	0.448109963668347	0.80425458583773	5.77764877517493e-12
"Niben261Chr03g0899005.1"	"Pectin acetylesterase"	"greenyellow"	0.365218049084736	0.0106967910393847	0.190387380213682	0.194918353492075	0.803877317719554	6.01293925643853e-12
