"GeneID"	"Description"	"moduleColor"	"GS.expcrtB"	"p.GS.expcrtB"	"GS.Phytoene"	"p.GS.Phytoene"	"MM.yellow"	"p.MM.yellow"
"Niben261Chr07g0279003.1"	"Phospholipase D"	"yellow"	0.296919129518968	0.0404267106988507	0.322265331802705	0.0254940201111466	0.84656644689717	3.46411429314506e-14
"Niben261Chr11g0519013.1"	"BEL1-like homeodomain protein 4"	"yellow"	0.340192933618866	0.0179891531963029	0.371482909562501	0.00933255385502418	0.843358224540769	5.37632916784971e-14
"Niben261Chr07g0241007.1"	"U-box domain-containing protein 7"	"yellow"	0.301928439858111	0.0370120933201162	0.311781997552906	0.0309869052640327	0.835522758328981	1.51119010457507e-13
"Niben261Chr04g0663006.1"	"Protein kinase domain-containing protein"	"yellow"	0.226902460418739	0.120927053036826	0.237253264814953	0.104442550467379	0.835177714683589	1.57958511222381e-13
"Niben261Chr10g0284012.1"	"Protein ABIL1"	"yellow"	0.333330127504767	0.0206047194983946	0.343930310873609	0.0166870296294632	0.832029380284887	2.35471343615139e-13
"Niben261Chr05g1107002.1"	"Plus3 domain-containing protein"	"yellow"	0.284289412797527	0.0501934048128101	0.360733765328022	0.0117755386387897	0.829454504789333	3.24426830743449e-13
"Niben261Chr10g0677003.1"	"2-hydroxyisoflavanone dehydratase-like"	"yellow"	0.201996776515081	0.168566267856833	0.404452238566963	0.00435551496265852	0.828766522638806	3.53112340716781e-13
"Niben261Chr09g1024002.1"	"vesicle-associated protein 2-2-like"	"yellow"	0.248244310410515	0.0888872805855657	0.302307220886552	0.0367638600224891	0.826855290998998	4.45948991475267e-13
"Niben261Chr16g0792016.1"	"Patellin-6"	"yellow"	0.312710452540229	0.0304638045183987	0.352960509839043	0.0138669396540388	0.825177952688618	5.46060254495494e-13
"Niben261Chr03g0141010.1"	"C2H2-type domain-containing protein"	"yellow"	0.253071151664924	0.0826546801100402	0.246054360982077	0.0918330621994617	0.821060793494493	8.89695731040871e-13
"Niben261Chr02g1065009.1"	"Protein pin-likes 6"	"yellow"	0.204451983533163	0.163341469232538	0.26133276282512	0.0727872032222931	0.82095943201817	9.00311041358887e-13
"Niben261Chr15g0828030.1"	"Rho GTPase-activating gacO-like protein"	"yellow"	0.382888376791449	0.00723111816190883	0.337997172648879	0.0187935535281896	0.819765103721883	1.03477250002572e-12
"Niben261Chr15g0955011.1"	"Potassium channel like"	"yellow"	0.241099034258761	0.0987783440931849	0.267557372297228	0.0659877455389402	0.817130395836359	1.40167798910049e-12
"Niben261Chr10g0558002.1"	"Non-specific serine/threonine protein kinase"	"yellow"	0.268097928281445	0.0654220040160316	0.390235556383852	0.00610645791347627	0.81225117822947	2.42804923940828e-12
"Niben261Chr12g0254002.1"	"E3 ubiquitin-protein ligase upl4"	"yellow"	0.277159662923873	0.0565010683418208	0.431546275720187	0.00219487280588987	0.8114791049726	2.64473089484025e-12
"Niben261Chr06g1214005.1"	"protein IQ-DOMAIN 32-like"	"yellow"	0.209879122575079	0.152212958399081	0.144666340826442	0.326577332763501	0.802912413360665	6.65664286178452e-12
"Niben261Chr06g0425011.1"	"Glycos_transf_1 domain-containing protein"	"yellow"	0.207072931182036	0.157895316307884	0.17545916806831	0.232926535066515	0.802589778821749	6.88604385958178e-12
"Niben261Chr04g1000001.1"	"Subtilisin-like protease"	"yellow"	0.268221790946075	0.0652929164687068	0.260329931811507	0.0739327168143146	0.800960445814538	8.16337318402392e-12
